,n_estimators,random_state,min_samples_split,min_samples_leaf,bootstrap,max_depth,Train Gini,Test Gini
0,101.0,0.0,2.0,1.0,1.0,1.0,0.5933014354066988,0.5194805194805194
0,101.0,0.0,2.0,1.0,1.0,21.0,1.0,0.3576423576423575
0,101.0,0.0,2.0,1.0,1.0,41.0,1.0,0.3576423576423575
0,101.0,0.0,2.0,21.0,1.0,1.0,0.5030758714969241,0.4811854811854812
0,101.0,0.0,2.0,21.0,1.0,21.0,0.5933014354066986,0.4845154845154846
0,101.0,0.0,2.0,21.0,1.0,41.0,0.5933014354066986,0.4845154845154846
0,101.0,0.0,2.0,41.0,1.0,1.0,0.1640464798359535,0.3536463536463536
0,101.0,0.0,2.0,41.0,1.0,21.0,0.1640464798359535,0.3536463536463536
0,101.0,0.0,2.0,41.0,1.0,41.0,0.1640464798359535,0.3536463536463536
0,101.0,0.0,22.0,1.0,1.0,1.0,0.5933014354066988,0.5194805194805194
0,101.0,0.0,22.0,1.0,1.0,21.0,0.8988380041011621,0.4105894105894108
0,101.0,0.0,22.0,1.0,1.0,41.0,0.8988380041011621,0.4105894105894108
0,101.0,0.0,22.0,21.0,1.0,1.0,0.5030758714969241,0.4811854811854812
0,101.0,0.0,22.0,21.0,1.0,21.0,0.5933014354066986,0.4845154845154846
0,101.0,0.0,22.0,21.0,1.0,41.0,0.5933014354066986,0.4845154845154846
0,101.0,0.0,22.0,41.0,1.0,1.0,0.1640464798359535,0.3536463536463536
0,101.0,0.0,22.0,41.0,1.0,21.0,0.1640464798359535,0.3536463536463536
0,101.0,0.0,22.0,41.0,1.0,41.0,0.1640464798359535,0.3536463536463536
0,101.0,0.0,42.0,1.0,1.0,1.0,0.5933014354066988,0.5194805194805194
0,101.0,0.0,42.0,1.0,1.0,21.0,0.748462064251538,0.4931734931734934
0,101.0,0.0,42.0,1.0,1.0,41.0,0.748462064251538,0.4931734931734934
0,101.0,0.0,42.0,21.0,1.0,1.0,0.5030758714969241,0.4811854811854812
0,101.0,0.0,42.0,21.0,1.0,21.0,0.5933014354066986,0.4845154845154846
0,101.0,0.0,42.0,21.0,1.0,41.0,0.5933014354066986,0.4845154845154846
0,101.0,0.0,42.0,41.0,1.0,1.0,0.1640464798359535,0.3536463536463536
0,101.0,0.0,42.0,41.0,1.0,21.0,0.1640464798359535,0.3536463536463536
0,101.0,0.0,42.0,41.0,1.0,41.0,0.1640464798359535,0.3536463536463536
0,121.0,0.0,2.0,1.0,1.0,1.0,0.5837320574162679,0.5088245088245089
0,121.0,0.0,2.0,1.0,1.0,21.0,1.0,0.3616383616383616
0,121.0,0.0,2.0,1.0,1.0,41.0,1.0,0.3616383616383616
0,121.0,0.0,2.0,21.0,1.0,1.0,0.4955570745044431,0.4858474858474859
0,121.0,0.0,2.0,21.0,1.0,21.0,0.5987696514012302,0.4925074925074926
0,121.0,0.0,2.0,21.0,1.0,41.0,0.5987696514012302,0.4925074925074926
0,121.0,0.0,2.0,41.0,1.0,1.0,0.1640464798359535,0.3536463536463536
0,121.0,0.0,2.0,41.0,1.0,21.0,0.1640464798359535,0.3536463536463536
0,121.0,0.0,2.0,41.0,1.0,41.0,0.1640464798359535,0.3536463536463536
0,121.0,0.0,22.0,1.0,1.0,1.0,0.5837320574162679,0.5088245088245089
0,121.0,0.0,22.0,1.0,1.0,21.0,0.8967874231032127,0.4212454212454213
0,121.0,0.0,22.0,1.0,1.0,41.0,0.8967874231032127,0.4212454212454213
0,121.0,0.0,22.0,21.0,1.0,1.0,0.4955570745044431,0.4858474858474859
0,121.0,0.0,22.0,21.0,1.0,21.0,0.5987696514012302,0.4925074925074926
0,121.0,0.0,22.0,21.0,1.0,41.0,0.5987696514012302,0.4925074925074926
0,121.0,0.0,22.0,41.0,1.0,1.0,0.1640464798359535,0.3536463536463536
0,121.0,0.0,22.0,41.0,1.0,21.0,0.1640464798359535,0.3536463536463536
0,121.0,0.0,22.0,41.0,1.0,41.0,0.1640464798359535,0.3536463536463536
0,121.0,0.0,42.0,1.0,1.0,1.0,0.5837320574162679,0.5088245088245089
0,121.0,0.0,42.0,1.0,1.0,21.0,0.7388926862611074,0.501831501831502
0,121.0,0.0,42.0,1.0,1.0,41.0,0.7388926862611074,0.501831501831502
0,121.0,0.0,42.0,21.0,1.0,1.0,0.4955570745044431,0.4858474858474859
0,121.0,0.0,42.0,21.0,1.0,21.0,0.5987696514012302,0.4925074925074926
0,121.0,0.0,42.0,21.0,1.0,41.0,0.5987696514012302,0.4925074925074926
0,121.0,0.0,42.0,41.0,1.0,1.0,0.1640464798359535,0.3536463536463536
0,121.0,0.0,42.0,41.0,1.0,21.0,0.1640464798359535,0.3536463536463536
0,121.0,0.0,42.0,41.0,1.0,41.0,0.1640464798359535,0.3536463536463536
0,141.0,0.0,2.0,1.0,1.0,1.0,0.5905673274094327,0.4988344988344988
0,141.0,0.0,2.0,1.0,1.0,21.0,1.0,0.3413253413253414
0,141.0,0.0,2.0,1.0,1.0,41.0,1.0,0.3413253413253414
0,141.0,0.0,2.0,21.0,1.0,1.0,0.5044429254955571,0.4805194805194805
0,141.0,0.0,2.0,21.0,1.0,21.0,0.6015037593984962,0.4858474858474857
0,141.0,0.0,2.0,21.0,1.0,41.0,0.6015037593984962,0.4858474858474857
0,141.0,0.0,2.0,41.0,1.0,1.0,0.1640464798359535,0.3536463536463536
0,141.0,0.0,2.0,41.0,1.0,21.0,0.1640464798359535,0.3536463536463536
0,141.0,0.0,2.0,41.0,1.0,41.0,0.1640464798359535,0.3536463536463536
0,141.0,0.0,22.0,1.0,1.0,1.0,0.5905673274094327,0.4988344988344988
0,141.0,0.0,22.0,1.0,1.0,21.0,0.9049897470950105,0.4125874125874125
0,141.0,0.0,22.0,1.0,1.0,41.0,0.9049897470950105,0.4125874125874125
0,141.0,0.0,22.0,21.0,1.0,1.0,0.5044429254955571,0.4805194805194805
0,141.0,0.0,22.0,21.0,1.0,21.0,0.6015037593984962,0.4858474858474857
0,141.0,0.0,22.0,21.0,1.0,41.0,0.6015037593984962,0.4858474858474857
0,141.0,0.0,22.0,41.0,1.0,1.0,0.1640464798359535,0.3536463536463536
0,141.0,0.0,22.0,41.0,1.0,21.0,0.1640464798359535,0.3536463536463536
0,141.0,0.0,22.0,41.0,1.0,41.0,0.1640464798359535,0.3536463536463536
0,141.0,0.0,42.0,1.0,1.0,1.0,0.5905673274094327,0.4988344988344988
0,141.0,0.0,42.0,1.0,1.0,21.0,0.747095010252905,0.4931734931734932
0,141.0,0.0,42.0,1.0,1.0,41.0,0.747095010252905,0.4931734931734932
0,141.0,0.0,42.0,21.0,1.0,1.0,0.5044429254955571,0.4805194805194805
0,141.0,0.0,42.0,21.0,1.0,21.0,0.6015037593984962,0.4858474858474857
0,141.0,0.0,42.0,21.0,1.0,41.0,0.6015037593984962,0.4858474858474857
0,141.0,0.0,42.0,41.0,1.0,1.0,0.1640464798359535,0.3536463536463536
0,141.0,0.0,42.0,41.0,1.0,21.0,0.1640464798359535,0.3536463536463536
0,141.0,0.0,42.0,41.0,1.0,41.0,0.1640464798359535,0.3536463536463536
0,161.0,0.0,2.0,1.0,1.0,1.0,0.5857826384142173,0.5014985014985014
0,161.0,0.0,2.0,1.0,1.0,21.0,1.0,0.3403263403263401
0,161.0,0.0,2.0,1.0,1.0,41.0,1.0,0.3403263403263401
0,161.0,0.0,2.0,21.0,1.0,1.0,0.514695830485304,0.4791874791874793
0,161.0,0.0,2.0,21.0,1.0,21.0,0.5994531784005468,0.4825174825174825
0,161.0,0.0,2.0,21.0,1.0,41.0,0.5994531784005468,0.4825174825174825
0,161.0,0.0,2.0,41.0,1.0,1.0,0.1640464798359535,0.3536463536463536
0,161.0,0.0,2.0,41.0,1.0,21.0,0.1640464798359535,0.3536463536463536
0,161.0,0.0,2.0,41.0,1.0,41.0,0.1640464798359535,0.3536463536463536
0,161.0,0.0,22.0,1.0,1.0,1.0,0.5857826384142173,0.5014985014985014
0,161.0,0.0,22.0,1.0,1.0,21.0,0.9097744360902256,0.4152514152514153
0,161.0,0.0,22.0,1.0,1.0,41.0,0.9097744360902256,0.4152514152514153
0,161.0,0.0,22.0,21.0,1.0,1.0,0.514695830485304,0.4791874791874793
0,161.0,0.0,22.0,21.0,1.0,21.0,0.5994531784005468,0.4825174825174825
0,161.0,0.0,22.0,21.0,1.0,41.0,0.5994531784005468,0.4825174825174825
0,161.0,0.0,22.0,41.0,1.0,1.0,0.1640464798359535,0.3536463536463536
0,161.0,0.0,22.0,41.0,1.0,21.0,0.1640464798359535,0.3536463536463536
0,161.0,0.0,22.0,41.0,1.0,41.0,0.1640464798359535,0.3536463536463536
0,161.0,0.0,42.0,1.0,1.0,1.0,0.5857826384142173,0.5014985014985014
0,161.0,0.0,42.0,1.0,1.0,21.0,0.7436773752563226,0.4998334998334999
0,161.0,0.0,42.0,1.0,1.0,41.0,0.7436773752563226,0.4998334998334999
0,161.0,0.0,42.0,21.0,1.0,1.0,0.514695830485304,0.4791874791874793
0,161.0,0.0,42.0,21.0,1.0,21.0,0.5994531784005468,0.4825174825174825
0,161.0,0.0,42.0,21.0,1.0,41.0,0.5994531784005468,0.4825174825174825
0,161.0,0.0,42.0,41.0,1.0,1.0,0.1640464798359535,0.3536463536463536
0,161.0,0.0,42.0,41.0,1.0,21.0,0.1640464798359535,0.3536463536463536
0,161.0,0.0,42.0,41.0,1.0,41.0,0.1640464798359535,0.3536463536463536
0,181.0,0.0,2.0,1.0,1.0,1.0,0.5864661654135339,0.5071595071595072
0,181.0,0.0,2.0,1.0,1.0,21.0,1.0,0.3376623376623375
0,181.0,0.0,2.0,1.0,1.0,41.0,1.0,0.3376623376623375
0,181.0,0.0,2.0,21.0,1.0,1.0,0.5167464114832536,0.4805194805194805
0,181.0,0.0,2.0,21.0,1.0,21.0,0.5946684894053313,0.475857475857476
0,181.0,0.0,2.0,21.0,1.0,41.0,0.5946684894053313,0.475857475857476
0,181.0,0.0,2.0,41.0,1.0,1.0,0.1640464798359535,0.3536463536463536
0,181.0,0.0,2.0,41.0,1.0,21.0,0.1640464798359535,0.3536463536463536
0,181.0,0.0,2.0,41.0,1.0,41.0,0.1640464798359535,0.3536463536463536
0,181.0,0.0,22.0,1.0,1.0,1.0,0.5864661654135339,0.5071595071595072
0,181.0,0.0,22.0,1.0,1.0,21.0,0.9145591250854408,0.4252414252414254
0,181.0,0.0,22.0,1.0,1.0,41.0,0.9145591250854408,0.4252414252414254
0,181.0,0.0,22.0,21.0,1.0,1.0,0.5167464114832536,0.4805194805194805
0,181.0,0.0,22.0,21.0,1.0,21.0,0.5946684894053313,0.475857475857476
0,181.0,0.0,22.0,21.0,1.0,41.0,0.5946684894053313,0.475857475857476
0,181.0,0.0,22.0,41.0,1.0,1.0,0.1640464798359535,0.3536463536463536
0,181.0,0.0,22.0,41.0,1.0,21.0,0.1640464798359535,0.3536463536463536
0,181.0,0.0,22.0,41.0,1.0,41.0,0.1640464798359535,0.3536463536463536
0,181.0,0.0,42.0,1.0,1.0,1.0,0.5864661654135339,0.5071595071595072
0,181.0,0.0,42.0,1.0,1.0,21.0,0.747095010252905,0.4965034965034964
0,181.0,0.0,42.0,1.0,1.0,41.0,0.747095010252905,0.4965034965034964
0,181.0,0.0,42.0,21.0,1.0,1.0,0.5167464114832536,0.4805194805194805
0,181.0,0.0,42.0,21.0,1.0,21.0,0.5946684894053313,0.475857475857476
0,181.0,0.0,42.0,21.0,1.0,41.0,0.5946684894053313,0.475857475857476
0,181.0,0.0,42.0,41.0,1.0,1.0,0.1640464798359535,0.3536463536463536
0,181.0,0.0,42.0,41.0,1.0,21.0,0.1640464798359535,0.3536463536463536
0,181.0,0.0,42.0,41.0,1.0,41.0,0.16404647983595355,0.35364635364635366
